iter	Passed	Remaining
0	2	2672
1	5	2656
2	7	2539
3	9	2318
4	11	2218
5	13	2180
6	14	2094
7	16	2070
8	18	2039
9	20	2035
10	22	2046
11	24	2003
12	26	1975
13	27	1945
14	29	1919
15	32	1991
16	34	1967
17	35	1954
18	38	1985
19	40	1989
20	42	1999
21	44	1995
22	46	1971
23	48	1956
24	49	1946
25	51	1933
26	53	1919
27	54	1905
28	56	1895
29	58	1881
30	59	1872
31	61	1866
32	63	1859
33	64	1839
34	66	1829
35	68	1823
36	69	1818
37	71	1809
38	72	1798
39	74	1793
40	76	1790
41	78	1793
42	80	1790
43	82	1783
44	84	1786
45	85	1781
46	87	1774
47	89	1768
48	90	1763
49	92	1762
50	94	1756
51	96	1752
52	97	1750
53	99	1745
54	101	1741
55	103	1738
56	104	1735
57	106	1729
58	108	1726
59	109	1722
60	111	1719
61	113	1716
62	115	1714
63	117	1720
64	119	1725
65	121	1721
66	124	1731
67	126	1727
68	127	1722
69	129	1724
70	131	1720
71	133	1717
72	135	1726
73	137	1726
74	139	1722
75	141	1724
76	143	1724
77	145	1722
78	148	1731
79	150	1729
80	152	1728
81	154	1730
82	156	1726
83	157	1720
84	159	1718
85	161	1717
86	163	1717
87	167	1732
88	169	1730
89	170	1726
90	173	1733
91	175	1728
92	176	1725
93	178	1724
94	180	1717
95	181	1713
96	183	1708
97	186	1715
98	188	1711
99	190	1714
100	193	1718
101	195	1724
102	197	1722
103	199	1718
104	201	1713
105	202	1709
106	204	1709
107	206	1707
108	208	1706
109	210	1704
110	212	1700
111	213	1696
112	215	1694
113	217	1692
114	219	1686
115	220	1681
116	222	1677
117	224	1677
118	225	1673
119	227	1669
120	229	1664
121	230	1660
122	232	1656
123	234	1654
124	235	1650
125	237	1645
126	239	1644
127	240	1641
128	242	1636
129	243	1631
130	245	1627
131	246	1623
132	248	1620
133	250	1616
134	251	1611
135	253	1607
136	254	1603
137	255	1598
138	257	1593
139	258	1589
140	260	1586
141	261	1583
142	263	1578
143	264	1574
144	266	1571
145	267	1567
146	269	1562
147	270	1558
148	272	1556
149	273	1552
150	275	1548
151	276	1543
152	278	1544
153	280	1540
154	281	1537
155	283	1533
156	284	1528
157	286	1525
158	287	1521
159	289	1517
160	290	1513
161	292	1511
162	293	1507
163	294	1503
164	296	1501
165	298	1498
166	299	1495
167	301	1491
168	302	1489
169	304	1485
170	305	1482
171	307	1479
172	308	1475
173	310	1474
174	312	1471
175	313	1468
176	315	1464
177	316	1462
178	318	1459
179	319	1455
180	321	1452
181	323	1452
182	324	1449
183	326	1446
184	327	1443
185	329	1442
186	330	1439
187	332	1436
188	333	1432
189	335	1431
190	337	1428
191	338	1424
192	340	1421
193	341	1419
194	342	1415
195	344	1412
196	345	1409
197	347	1407
198	348	1404
199	350	1401
200	351	1398
201	353	1397
202	355	1395
203	356	1392
204	357	1388
205	359	1385
206	361	1383
207	362	1380
208	363	1377
209	365	1374
210	366	1372
211	368	1369
212	369	1366
213	371	1363
214	373	1363
215	375	1361
216	376	1358
217	378	1356
218	379	1355
219	381	1352
220	382	1349
221	384	1346
222	385	1344
223	387	1341
224	388	1339
225	390	1337
226	392	1334
227	397	1345
228	399	1343
229	400	1341
230	402	1339
231	404	1337
232	405	1334
233	406	1331
234	408	1328
235	409	1326
236	411	1325
237	413	1322
238	414	1320
239	416	1318
240	417	1315
241	419	1313
242	420	1310
243	422	1308
244	423	1305
245	425	1303
246	426	1300
247	428	1298
248	429	1295
249	430	1292
250	432	1290
251	433	1287
252	435	1285
253	436	1282
254	438	1279
255	439	1277
256	441	1275
257	442	1273
258	444	1271
259	445	1268
260	447	1266
261	448	1263
262	450	1261
263	451	1259
264	453	1257
265	454	1254
266	456	1252
267	457	1250
268	459	1247
269	460	1245
270	462	1243
271	463	1240
272	465	1238
273	466	1237
274	468	1234
275	470	1233
276	471	1230
277	473	1228
278	474	1226
279	475	1223
280	477	1221
281	478	1219
282	480	1217
283	481	1214
284	483	1212
285	485	1211
286	486	1208
287	488	1206
288	489	1204
289	490	1202
290	492	1200
291	494	1198
292	495	1195
293	497	1193
294	498	1192
295	500	1190
296	501	1188
297	503	1186
298	505	1184
299	506	1181
300	508	1180
301	509	1178
302	511	1176
303	512	1174
304	514	1171
305	515	1169
306	517	1167
307	518	1165
308	520	1163
309	521	1160
310	522	1158
311	524	1156
312	525	1154
313	527	1152
314	528	1150
315	530	1148
316	531	1145
317	533	1143
318	534	1141
319	536	1139
320	537	1137
321	539	1136
322	541	1134
323	543	1132
324	544	1131
325	546	1128
326	547	1126
327	549	1125
328	550	1123
329	552	1120
330	554	1119
331	555	1118
332	557	1116
333	558	1114
334	560	1111
335	561	1110
336	563	1107
337	564	1105
338	565	1103
339	568	1102
340	569	1101
341	571	1099
342	573	1097
343	574	1095
344	576	1093
345	577	1091
346	578	1089
347	580	1087
348	582	1086
349	584	1084
350	586	1083
351	587	1081
352	589	1079
353	590	1078
354	592	1076
355	594	1074
356	596	1073
357	597	1072
358	599	1070
359	601	1068
360	602	1066
361	604	1064
362	605	1062
363	606	1060
364	608	1058
365	609	1056
366	611	1054
367	612	1052
368	614	1050
369	615	1047
370	616	1045
371	618	1043
372	619	1041
373	620	1039
374	622	1037
